schema,ticker,rebalance_date,end_date,error
OHLCV-1d,MKTX,2023-02-21,2023-03-28,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x117856270>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,MTD,2023-02-21,2023-02-21,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127345e80>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,MTD,2023-02-21,2023-03-28,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127344c80>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,NUE,2023-02-21,2023-02-21,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127194d40>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,NUE,2023-02-21,2023-03-28,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127344ec0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,PRU,2023-02-21,2023-02-21,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1273d6390>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,PRU,2023-02-21,2023-03-28,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127196b10>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,SJM,2023-02-21,2023-02-21,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x12742d3d0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,SJM,2023-02-21,2023-03-28,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127196cc0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,SNA,2023-02-21,2023-02-21,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1274d1370>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
