rebalance_date,ticker,rank,selected_flag
2014-03-31,MO,20.0,1
2014-04-28,MJN,1.0,1
2014-04-28,AGN,2.0,1
2014-04-28,MO,3.0,1
2014-04-28,CL,4.0,1
2014-04-28,IBM,5.0,1
2014-04-28,DE,6.0,1
2014-04-28,KMB,7.0,1
2014-04-28,K,8.0,1
2014-04-28,CPB,9.0,1
2014-04-28,HP,10.0,1
2014-04-28,LM,11.0,1
2014-04-28,PBI,12.0,1
2014-04-28,DAL,13.0,1
2014-04-28,EXPE,14.0,1
2014-04-28,PAYX,15.0,1
2014-04-28,FSLR,16.0,1
2014-04-28,PEG,17.0,1
2014-04-28,SWN,18.0,1
2014-04-28,TXT,19.0,1
2014-04-28,NVDA,20.0,1
2014-05-27,MJN,1.0,1
2014-05-27,CPB,2.0,1
2014-05-27,MO,3.0,1
2014-05-27,DE,4.0,1
2014-05-27,K,5.0,1
2014-05-27,AGN,6.0,1
2014-05-27,HP,7.0,1
2014-05-27,DAL,8.0,1
2014-05-27,CL,9.0,1
2014-05-27,KMB,10.0,1
2014-05-27,IBM,11.0,1
2014-05-27,PAYX,12.0,1
2014-05-27,LM,13.0,1
2014-05-27,NVDA,14.0,1
2014-05-27,EQR,15.0,1
2014-05-27,BMS,16.0,1
2014-05-27,SWY,17.0,1
2014-05-27,SIAL,18.0,1
2014-05-27,PBI,19.0,1
2014-05-27,LUV,20.0,1
2014-06-23,MJN,1.0,1
2014-06-23,NFX,2.0,1
2014-06-23,MO,3.0,1
2014-06-23,KMB,4.0,1
2014-06-23,HP,5.0,1
2014-06-23,CL,6.0,1
2014-06-23,K,7.0,1
2014-06-23,CPB,8.0,1
2014-06-23,DE,9.0,1
2014-06-23,IBM,10.0,1
2014-06-23,DAL,11.0,1
2014-06-23,PBI,12.0,1
2014-06-23,DGX,13.0,1
2014-06-23,AIV,14.0,1
2014-06-23,SWY,15.0,1
2014-06-23,CHRW,16.0,1
2014-06-23,PAYX,17.0,1
2014-06-23,FDO,18.0,1
2014-06-23,BMS,19.0,1
2014-06-23,NI,20.0,1
2014-07-21,CLX,1.0,1
2014-07-21,MJN,2.0,1
2014-07-21,NFX,3.0,1
2014-07-21,MO,4.0,1
2014-07-21,K,5.0,1
2014-07-21,CPB,6.0,1
2014-07-21,HP,7.0,1
2014-07-21,KMB,8.0,1
2014-07-21,CL,9.0,1
2014-07-21,NFLX,10.0,1
2014-07-21,PETM,11.0,1
2014-07-21,HUM,12.0,1
2014-07-21,SWY,13.0,1
2014-07-21,INTC,14.0,1
2014-07-21,AIV,15.0,1
2014-07-21,DGX,16.0,1
2014-07-21,IBM,17.0,1
2014-07-21,MSFT,18.0,1
2014-07-21,EQR,19.0,1
2014-07-21,DE,20.0,1
2014-08-18,CLX,1.0,1
2014-08-18,MJN,2.0,1
2014-08-18,MO,3.0,1
2014-08-18,FDO,4.0,1
2014-08-18,INTC,5.0,1
2014-08-18,NFX,6.0,1
2014-08-18,CHRW,7.0,1
2014-08-18,CPB,8.0,1
2014-08-18,K,9.0,1
2014-08-18,DGX,10.0,1
2014-08-18,IBM,11.0,1
