strategy_id,date,ticker,event,detail,cash_change,shares_change
D10,2018-11-16,MO,PUT_ASSIGN,buy 6300 @59.50 S_close=56.78,-374850.0,6300
D10,2018-11-16,KO,CALL_ASSIGN,sell 11700 @48.00 S_close=50.17,561600.0,-11700
D10,2018-11-16,CSCO,PUT_EXPIRE,OTM K=41.00 S_close=46.35,0.0,0
D10,2018-11-16,LLY,PUT_EXPIRE,OTM K=97.50 S_close=113.83,0.0,0
D10,2018-11-16,DIS,PUT_EXPIRE,OTM K=100.00 S_close=116.19,0.0,0
D10,2018-11-16,PEP,CALL_EXPIRE,OTM K=120.00 S_close=118.35,0.0,0
D10,2018-11-16,ABT,PUT_EXPIRE,OTM K=62.50 S_close=72.04,0.0,0
D10,2018-11-16,MCD,PUT_EXPIRE,OTM K=157.50 S_close=187.59,0.0,0
D10,2018-11-16,ORCL,CALL_ASSIGN,sell 7700 @50.50 S_close=51.17,388850.0,-7700
D10,2018-11-16,ADBE,PUT_EXPIRE,OTM K=220.00 S_close=238.89,0.0,0
D20,2018-11-16,AAPL,PUT_ASSIGN,buy 1500 @205.00 S_close=193.53,-307500.0,1500
D20,2018-11-16,MSFT,PUT_EXPIRE,OTM K=100.00 S_close=108.29,0.0,0
D20,2018-11-16,HD,PUT_EXPIRE,OTM K=165.00 S_close=177.02,0.0,0
D20,2018-11-16,JNJ,PUT_EXPIRE,OTM K=133.00 S_close=145.99,0.0,0
D20,2018-11-16,WMT,PUT_EXPIRE,OTM K=96.00 S_close=97.69,0.0,0
D20,2018-11-16,BAC,CALL_EXPIRE,OTM K=28.00 S_close=27.75,0.0,0
D20,2018-11-16,BA,PUT_ASSIGN,buy 900 @342.50 S_close=335.95,-308250.0,900
D20,2018-11-16,PFE,CALL_EXPIRE,OTM K=45.00 S_close=43.51,0.0,0
D20,2018-11-16,PG,CALL_EXPIRE,OTM K=95.00 S_close=93.82,0.0,0
D20,2018-11-16,MRK,PUT_EXPIRE,OTM K=68.00 S_close=76.06,0.0,0
D20,2018-11-16,MO,CALL_EXPIRE,OTM K=65.50 S_close=56.78,0.0,0
D20,2018-11-16,KO,CALL_ASSIGN,sell 9800 @47.50 S_close=50.17,465500.0,-9800
D20,2018-11-16,CSCO,PUT_EXPIRE,OTM K=42.00 S_close=46.35,0.0,0
D20,2018-11-16,LLY,PUT_EXPIRE,OTM K=101.00 S_close=113.83,0.0,0
D20,2018-11-16,DIS,CALL_EXPIRE,OTM K=123.00 S_close=116.19,0.0,0
D20,2018-11-16,PEP,PUT_EXPIRE,OTM K=104.00 S_close=118.35,0.0,0
D20,2018-11-16,ABT,PUT_EXPIRE,OTM K=63.50 S_close=72.04,0.0,0
D20,2018-11-16,MCD,PUT_EXPIRE,OTM K=162.50 S_close=187.59,0.0,0
D20,2018-11-16,ORCL,CALL_ASSIGN,sell 6300 @49.50 S_close=51.17,311850.0,-6300
D20,2018-11-16,ADBE,PUT_EXPIRE,OTM K=225.00 S_close=238.89,0.0,0
D10,2019-04-26,MSFT,SELL_PUT,exp=2019-05-17 K=124.00 prem=0.58 x31,1798.0,0
D10,2019-04-26,AAPL,SELL_CALL,exp=2019-05-17 K=217.50 prem=1.17 x18,2106.0,0
D10,2019-04-26,BA,SELL_PUT,exp=2019-05-17 K=357.50 prem=2.08 x10,2080.0,0
D10,2019-04-26,BAC,SELL_PUT,exp=2019-05-17 K=28.00 prem=0.07 x140,980.0,0
D10,2019-04-26,JNJ,SELL_PUT,exp=2019-05-17 K=136.00 prem=0.72 x28,2016.0,0
D10,2019-04-26,PG,SELL_CALL,exp=2019-05-17 K=110.00 prem=0.14 x58,812.0,0
D10,2019-04-26,CSCO,SELL_PUT,exp=2019-05-17 K=53.50 prem=0.61 x73,4453.0,0
D10,2019-04-26,DIS,SELL_PUT,exp=2019-05-17 K=130.00 prem=0.65 x30,1950.0,0
D10,2019-04-26,WMT,SELL_PUT,exp=2019-05-17 K=98.00 prem=1.32 x40,5280.0,0
D10,2019-04-26,INTC,SELL_PUT,exp=2019-05-17 K=45.00 prem=0.07 x87,609.0,0
D10,2019-04-26,MRK,SELL_PUT,exp=2019-05-17 K=72.50 prem=0.58 x54,3132.0,0
D10,2019-04-26,KO,SELL_PUT,exp=2019-05-17 K=47.00 prem=0.16 x83,1328.0,0
D10,2019-04-26,PEP,SELL_CALL,exp=2019-05-17 K=132.00 prem=0.12 x46,552.0,0
D10,2019-04-26,ORCL,SELL_PUT,exp=2019-05-17 K=53.00 prem=0.27 x74,1998.0,0
D10,2019-04-26,HD,SELL_PUT,exp=2019-05-17 K=195.00 prem=0.57 x20,1140.0,0
D10,2019-04-26,ABT,SELL_PUT,exp=2019-05-17 K=74.00 prem=0.28 x53,1484.0,0
D10,2019-04-26,TMO,SELL_PUT,exp=2019-05-17 K=260.00 prem=1.83 x15,2745.0,0
D10,2019-04-26,NEE,SELL_PUT,exp=2019-05-17 K=180.00 prem=0.28 x21,588.0,0
D10,2019-04-26,NFLX,SELL_PUT,exp=2019-05-17 K=350.00 prem=3.05 x11,3355.0,0
D10,2019-04-26,UNP,SELL_PUT,exp=2019-05-17 K=155.00 prem=0.10 x25,250.0,0
D20,2019-04-26,MSFT,SELL_PUT,exp=2019-05-17 K=126.00 prem=1.05 x27,2835.0,0
D20,2019-04-26,AAPL,SELL_CALL,exp=2019-05-17 K=212.50 prem=2.12 x15,3180.0,0
D20,2019-04-26,BA,SELL_CALL,exp=2019-05-17 K=405.00 prem=1.15 x9,1035.0,0
D20,2019-04-26,BAC,SELL_CALL,exp=2019-05-17 K=32.00 prem=0.06 x117,702.0,0
D20,2019-04-26,JNJ,SELL_PUT,exp=2019-05-17 K=138.00 prem=1.30 x24,3120.0,0
D20,2019-04-26,PG,SELL_CALL,exp=2019-05-17 K=109.00 prem=0.22 x48,1056.0,0
D20,2019-04-26,CSCO,SELL_PUT,exp=2019-05-17 K=54.50 prem=0.85 x62,5270.0,0
