strategy_id,date,cash,equity,daily_pnl
D10,2018-11-21,7778044.43,11022652.43,-37866.65
D20,2018-11-21,6778578.77,10834360.78,-13206.24
D10,2018-11-23,7778772.85,11037198.83,14546.4
D20,2018-11-23,6779213.59,10812375.59,-21985.2
D10,2018-11-26,7779504.42,11075621.42,38422.59
D20,2018-11-26,6779851.16,10854800.15,42424.57
D10,2018-11-27,7780232.98,11132404.0,56782.57
D20,2018-11-27,6780486.1,10900692.11,45891.96
D10,2018-11-28,7780958.52,11195741.52,63337.52
D20,2018-11-28,6781118.41,10993960.41,93268.29
D10,2018-11-29,7781674.86,11207496.86,11755.34
D20,2018-11-29,6781742.7,11008909.7,14949.29
D10,2018-11-30,7782391.27,11231729.27,24232.41
D20,2018-11-30,6782367.05,11010596.06,1686.36
D10,2018-12-03,7783113.92,11314448.94,82719.67
D20,2018-12-03,6782996.84,11122022.85,111426.79
D10,2018-12-04,7783848.99,11177866.99,-136581.95
D20,2018-12-04,6783637.46,10966957.46,-155065.39
D10,2018-12-06,7784577.96,11175215.96,-2651.04
D20,2018-12-06,6784272.75,10941975.74,-24981.72
D10,2018-12-07,7785303.9,11061685.92,-113530.04
D20,2018-12-07,6784905.41,10829675.43,-112300.32
D10,2018-12-10,7786036.09,11081835.11,20149.19
D20,2018-12-10,6785543.52,10839097.54,9422.11
D10,2018-12-11,7786768.35,11089776.35,7941.24
D20,2018-12-11,6786181.68,10831868.68,-7228.86
D10,2018-12-12,7787506.85,11107321.87,17545.52
D20,2018-12-12,6786825.29,10861613.31,29744.63
D10,2018-12-13,7788242.34,11114599.34,7277.47
D20,2018-12-13,6787466.27,10872265.27,10651.96
D10,2018-12-14,7788974.81,11065979.81,-48619.53
D20,2018-12-14,6788104.61,10824469.61,-47795.65
D10,2018-12-17,7789704.25,10947951.25,-118028.56
D20,2018-12-17,6788740.33,10725439.33,-99030.29
D10,2018-12-18,7790427.58,10947366.6,-584.65
D20,2018-12-18,6789370.71,10741808.72,16369.4
D10,2018-12-19,7791154.07,10873477.07,-73889.53
D20,2018-12-19,6790003.84,10650658.84,-91149.89
D10,2018-12-20,7791877.53,10834996.53,-38480.54
D20,2018-12-20,6790634.34,10626149.34,-24509.5
D10,2018-12-21,7792601.06,10775254.06,-59742.47
D20,2018-12-21,6791264.9,10536562.89,-89586.44
D10,2018-12-24,7793346.31,10689964.31,-85289.76
D20,2018-12-24,6791914.39,10454102.39,-82460.51
D10,2018-12-26,7794085.44,10814959.44,124995.13
D20,2018-12-26,6792558.54,10615451.53,161349.14
D10,2018-12-27,7794815.36,10826331.34,11371.9
D20,2018-12-27,6793194.67,10635755.66,20304.13
D10,2018-12-28,7795542.26,10840023.26,13691.92
D20,2018-12-28,6793828.16,10642309.16,6553.5
D10,2018-12-31,7796284.69,10883514.71,43491.45
D20,2018-12-31,6794475.19,10701569.21,59260.05
D10,2019-01-02,7797017.91,10886874.91,3360.2
D20,2019-01-02,6795114.2,10713840.2,12270.99
D10,2019-01-03,7797748.11,10767629.11,-119245.8
D20,2019-01-03,6795750.56,10588860.55,-124979.64
D10,2019-01-04,7798481.47,10896339.45,128710.34
D20,2019-01-04,6796389.69,10732333.66,143473.11
D10,2019-01-07,7799227.28,10942041.26,45701.81
D20,2019-01-07,6797039.66,10777138.64,44804.97
D10,2019-01-08,7799973.15,10974085.15,32043.9
D20,2019-01-08,6797689.69,10814110.69,36972.06
D10,2019-01-09,7800716.01,10944223.01,-29862.15
D20,2019-01-09,6798337.09,10818046.08,3935.39
D10,2019-01-10,7801452.74,10919835.74,-24387.27
D20,2019-01-10,6798979.16,10815386.15,-2659.93
D10,2019-01-11,7802189.55,10946830.53,26994.79
D20,2019-01-11,6799621.28,10841259.26,25873.11
D10,2019-01-14,7802932.61,10926010.61,-20819.92
D20,2019-01-14,6800268.87,10780867.86,-60391.4
D10,2019-01-15,7803675.75,10959145.77,33135.15
D20,2019-01-15,6800916.51,10788653.52,7785.66
D10,2019-01-16,7804412.76,10925946.76,-33199.0
D20,2019-01-16,6801558.82,10792378.82,3725.3
D10,2019-01-17,7805146.75,10949638.75,23691.99
D20,2019-01-17,6802198.49,10824218.49,31839.67
D10,2019-01-18,7805877.71,10990746.73,41107.98
D20,2019-01-18,6802835.52,10866250.55,42032.06
D10,2019-01-22,7806614.93,10919592.93,-71153.8
D20,2019-01-22,6803478.01,10793972.0,-72278.54
D10,2019-01-23,7807346.03,10951408.03,31815.1
D20,2019-01-23,6804115.16,10820564.15,26592.15
D10,2019-01-24,7808064.8,10956593.8,5185.77
D20,2019-01-24,6804741.57,10826941.57,6377.41
D10,2019-01-25,7808789.83,11007804.81,51211.02
D20,2019-01-25,6805373.44,10903741.44,76799.87
D10,2019-01-28,7809524.23,10933051.23,-74753.58
D20,2019-01-28,6806013.47,10837656.47,-66084.96
D10,2019-01-29,7810258.7,10956569.68,23518.45
D20,2019-01-29,6806653.56,10865997.55,28341.07
D10,2019-01-30,7810993.23,11156482.23,199912.55
D20,2019-01-30,6807293.71,11042737.71,176740.16
D10,2019-01-31,7811724.74,11245471.74,88989.51
